sort order,region,areaID,Run,runID,Hatchery,CISS,PWS,YAK,NSE,SSE,QCI,NBC,CBC,NWVI,SWVI,SGEO,PUSO,WAC,COL,NOR,COR,SOR,NCA,MEN,SFB,MOB
32,6  Fraser-S BC,5,Summ,2,H-CLEARWATER R UP/TO Summ,0,0,0,5.838979673,1.853328019,27.34157035,6.33718613,1.434834595,14.16899163,13.53128737,22.79792746,6.177760064,0.438421682,0,0.079713033,0,0,0,0,0,0
33,6  Fraser-S BC,5,Summ,2,H-EAGLE R Summ,0,0,0,12.83029947,3.669994128,17.17557252,4.08103347,5.754550793,9.13094539,3.846153846,39.51849677,3.640634175,0.352319436,0,0,0,0,0,0,0,0
34,6  Fraser-S BC,5,Summ,2,H-SHUSWAP R Summ,0,0.02151926,0.430385195,18.74327523,6.154508285,21.58381752,6.434258662,5.100064558,7.833010544,3.636754896,25.34968797,4.476006025,0.193673338,0.043038519,0,0,0,0,0,0,0
35,8 PS,5,Spri,1,KENDALL CR HATCHERY Spri,0,0,0,0.125,0.291666667,0,0.541666667,1.25,12.08333333,11.45833333,52.54166667,21.375,0.333333333,0,0,0,0,0,0,0,0
36,8 PS,5,Fall,3,SAMISH HATCHERY Fall,0,0,0,0.139002453,0.209866449,0.253475061,0.482420278,0.877623331,2.793676751,17.5660943,26.95012265,47.09185064,3.455982557,0.049059689,0.059961842,0.070863996,0,0,0,0,0
37,8 PS,5,Spri,1,MARBLEMOUNT HATCHERY Spri,0,0,0,0.119142176,0.119142176,0.436854647,0.97299444,3.435266084,9.253375695,14.29706116,31.93010326,37.80778396,1.62827641,0,0,0,0,0,0,0,0
38,8 PS,5,Summ,2,WALLACE R HATCHERY Summ,0,0,0,0.206422018,0.229357798,0.183486239,0.160550459,3.436544343,1.968654434,15.21788991,34.58333333,42.36238532,1.651376147,0,0,0,0,0,0,0,0
39,8 PS,5,Fall,3,ISSAQUAH HATCHERY Fall,0,0,0,0.153866738,0.180626171,0.187316029,0.231915083,0.914280617,4.482204977,23.26732673,12.83560789,54.42199625,3.124163768,0.013379716,0.187316029,0,0,0,0,0,0
40,8 PS,5,Fall,3,SOOS CREEK HATCHERY Fall,0,0,0,0.15015015,0.114820703,0.635930048,0.582935877,1.006889242,5.608549726,22.35470765,19.60784314,46.85567921,2.905847023,0.123653065,0,0.052994171,0,0,0,0,0
41,8 PS,5,Fall,3,GROVERS CR HATCHERY Fall,0,0,0,0.038557933,0.096394833,0.366300366,0.192789666,0.877192982,7.268170426,18.91266628,12.27106227,51.76402545,7.480239059,0.1156738,0.443416233,0.1735107,0,0,0,0,0
42,8 PS,5,Fall,3,HOODSPORT HATCHERY Fall,0,0,0,0.237786425,0.064850843,0.216169477,0.317048566,1.095258683,3.242542153,16.8612192,8.401787001,64.22395158,4.258538694,0.259403372,0.259403372,0.259403372,0,0.151318634,0.151318634,0,0
43,8 PS,5,Fall,3,ELWHA HATCHERY Fall,0,0,0,1.817741154,1.914687349,2.520601066,2.884149297,5.622879302,9.209888512,16.09306835,19.26805623,37.56665051,2.859912748,0,0.242365487,0,0,0,0,0,0
6,4 N-Cent BC ,6,Summ,2,H-MASSET Summ,0.494233937,0.164744646,0.494233937,37.27347611,8.690280066,44.72817133,6.754530478,0.329489292,0.329489292,0,0.741350906,0,0,0,0,0,0,0,0,0,0
7,4 N-Cent BC ,6,Spri,1,H-KINCOLITH R Spri,0.115141048,0,0.287852619,15.60161197,36.55728267,3.339090386,44.0990213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4 N-Cent BC ,6,Summ,2,H-FORT BABINE Summ,0.063897764,0,0.095846645,26.69329073,7.747603834,21.4057508,42.20447284,1.341853035,0.191693291,0,0.255591054,0,0,0,0,0,0,0,0,0,0
9,4 N-Cent BC ,6,Summ,2,H-TERRACE Summ,0.873090115,0.405363268,0.249454319,38.27564702,13.61085126,15.24789523,29.90333645,1.153726224,0.09354537,0,0.124727159,0,0.06236358,0,0,0,0,0,0,0,0
10,4 N-Cent BC ,6,Spri,1,H-KITIMAT R Spri,0.436502524,0.17732915,0.586550266,41.82921839,16.4165871,4.692402128,9.909971355,25.50129587,0.150047742,0.027281408,0.272814077,0,0,0,0,0,0,0,0,0,0
11,4 N-Cent BC ,6,Summ,2,H-SNOOTLI CR Summ,1.019526525,1.17504752,0.276481769,22.25678244,4.233627095,10.16934508,3.525142561,56.48004147,0.544323484,0.112320719,0.103680664,0,0.069120442,0,0.034560221,0,0,0,0,0,0
12,4 N-Cent BC ,6,Summ,2,H-OWEEKENO Summ,1.376811594,0.217391304,0.724637681,25.97826087,10.6884058,4.963768116,2.934782609,52.02898551,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0
2,3 SE AK,7,Spri,1,SNETTISHAM Spri,0.04950495,0,0,98.93564356,1.014851485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3 SE AK,7,Spri,1,CRYSTAL LAKE Spri,0.020323138,0.203231379,0.172746672,63.5809369,35.85001524,0.172746672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3 SE AK,7,Spri,1,DEER MOUNTAIN Spri,0.090881551,0,0.151469252,16.44956074,80.06664647,1.151166313,1.969100273,0,0,0,0,0,0,0,0,0,0,0,0.121175401,0,0
5,3 SE AK,7,Spri,1,NEETS BAY Spri,0.063411541,0.126823082,0.538998098,11.049461,87.61889664,0,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2 SE AK,8,Spri,1,Cook Inlet Spri,63.52459016,25.92213115,0.614754098,4.918032787,0.409836066,0.922131148,0,0,3.381147541,0.204918033,0,0,0.102459016,0,0,0,0,0,0,0,0
