Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,310268,AK,ADFG,H,FORT RICHARDSON,2002,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.8,105,2003,CROOKED CR 244-30,6/5/2003,5958,6258,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310272,AK,ADFG,H,FORT RICHARDSON,2002,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.8,105,2003,CROOKED CR 244-30,6/5/2003,45448,47740,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310273,AK,ADFG,H,FORT RICHARDSON,2002,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.8,105,2003,CROOKED CR 244-30,6/5/2003,42652,44802,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310279,AK,ADFG,H,FORT RICHARDSON,2002,CROOKED CR 244-30,,CHINOOK,SMOLT       ,15.2,110,2004,CROOKED CR 244-30,6/3/2004,44312,47545,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,REPLICATE TO 310280,,,
TAGGED,310280,AK,ADFG,H,FORT RICHARDSON,2002,CROOKED CR 244-30,,CHINOOK,SMOLT       ,15.2,110,2004,CROOKED CR 244-30,6/3/2004,30808,33056,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,REPLICATE TO 310279,,,
TAGGED,310317,AK,ADFG,H,FORT RICHARDSON,2003,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.9,103,2005,CROOKED CR 244-30,6/2/2005,18942,18961,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,REPLICATES:3103139&310340,,,
TAGGED,310339,AK,ADFG,H,FORT RICHARDSON,2003,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.9,103,2005,CROOKED CR 244-30,6/2/2005,47436,47483,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,REPLICATES:310317&310340,,,
TAGGED,310340,AK,ADFG,H,FORT RICHARDSON,2003,CROOKED CR 244-30,,CHINOOK,SMOLT       ,12.9,103,2005,CROOKED CR 244-30,6/2/2005,47122,47169,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,REPLICATES:310317&310339,,,
TAGGED,310351,AK,ADFG,H,FORT RICHARDSON,2004,CROOKED CR 244-30,,CHINOOK,SMOLT       ,13.4,,2006,CROOKED CR 244-30,6/2/2006,23473,23473,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
TAGGED,310356,AK,ADFG,H,FORT RICHARDSON,2004,CROOKED CR 244-30,,CHINOOK,SMOLT       ,13.4,,2006,CROOKED CR 244-30,6/2/2006,46606,46606,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
TAGGED,310357,AK,ADFG,H,FORT RICHARDSON,2004,CROOKED CR 244-30,,CHINOOK,SMOLT       ,13.4,,2006,CROOKED CR 244-30,6/2/2006,41626,41626,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
TAGGED,310352,AK,ADFG,H,FORT RICHARDSON,2005,CROOKED CR 244-30,,CHINOOK,SMOLT       ,10.6,97,2007,CROOKED CR 244-30,6/1/2007,20868,20889,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
TAGGED,310368,AK,ADFG,H,FORT RICHARDSON,2005,CROOKED CR 244-30,,CHINOOK,SMOLT       ,10.6,97,2007,CROOKED CR 244-30,6/1/2007,90403,90493,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
TAGGED,310369,AK,ADFG,H,FORT RICHARDSON,2006,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.2,99,2008,CROOKED CR 244-30,6/2/2008,21917,22183,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
TAGGED,310370,AK,ADFG,H,FORT RICHARDSON,2006,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.2,99,2008,CROOKED CR 244-30,6/2/2008,91296,92405,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
TAGGED,310314,AK,ADFG,H,FORT RICHARDSON,2007,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.65,100,2009,CROOKED CR 244-30,6/20/2009,5582,5627,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310374,AK,ADFG,H,FORT RICHARDSON,2007,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.65,100,2009,CROOKED CR 244-30,6/20/2009,18921,19074,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310375,AK,ADFG,H,FORT RICHARDSON,2007,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.65,100,2009,CROOKED CR 244-30,6/20/2009,89611,90334,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310378,AK,ADFG,H,FORT RICHARDSON,2008,CROOKED CR 244-30,,CHINOOK,SMOLT       ,10.5,,2010,CROOKED CR 244-30,6/10/2010,105190,106145,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET08CHIN,,,,
NOT TAGGED,!01111ADFG01,AK,ADFG,H,FORT RICHARDSON,2009,CROOKED CR 244-30,,CHINOOK,SMOLT       ,11.6,,2011,CROOKED CR 244-30,6/12/2011,0,64578,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET09CHIN,,,,
TAGGED,311642,AK,ADFG,H,FORT RICHARDSON,1983,WILLOW CR 247-41,,CHINOOK,,9.84,,1985,DECEPTION CR 247-41,6/1/1985,8152,101351,,2,AD,,,,,,,
TAGGED,311645,AK,ADFG,H,FORT RICHARDSON,1984,WILLOW CR 247-41,,CHINOOK,,14.01,,1985,DECEPTION CR 247-41,6/1/1985,11038,214353,,2,AD,,,,,,,
TAGGED,311647,AK,ADFG,H,FORT RICHARDSON,1984,WILLOW CR 247-41,,CHINOOK,,14.01,,1985,DECEPTION CR 247-41,6/1/1985,10708,218743,,2,AD,,,,,,,
NOT TAGGED,!12861ADFG10,AK,ADFG,H,FORT RICHARDSON,1985,WILLOW CR 247-41,,CHINOOK,FINGERLING  ,11.35,,1986,DECEPTION CR 247-41,5/10/1986,0,147877,,2,NO MARK,,,,,,,
TAGGED,311727,AK,ADFG,H,FORT RICHARDSON,1985,WILLOW CR 247-41,,CHINOOK,,12.2,,1986,DECEPTION CR 247-41,5/10/1986,18400,130178,,2,AD,,,,,,,
TAGGED,311758,AK,ADFG,H,FORT RICHARDSON,1987,WILLOW CR 247-41,,CHINOOK,,10.9,,1988,DECEPTION CR 247-41,7/12/1988,20936,201091,,2,AD,,,,,,,
TAGGED,311760,AK,ADFG,H,FORT RICHARDSON,1988,WILLOW CR 247-41,,CHINOOK,,13,,1989,DECEPTION CR 247-41,5/31/1989,19851,240885,,2,AD,,,,,,,
TAGGED,311851,AK,ADFG,H,FORT RICHARDSON,1989,WILLOW CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,13.4,,1990,DECEPTION CR 247-41,5/23/1990,39561,219432,,2,AD,,,,,,,
TAGGED,311852,AK,ADFG,H,FORT RICHARDSON,1989,WILLOW CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,13.9,,1990,DECEPTION CR 247-41,5/24/1990,39427,216697,,2,AD,,,,,,,
TAGGED,311734,AK,ADFG,H,FORT RICHARDSON,1989,WILLOW CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,14.4,,1990,DECEPTION CR 247-41,5/23/1990,40531,219362,,2,AD,,,,,,,
TAGGED,312103,AK,ADFG,H,FORT RICHARDSON,1991,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,13.5,107,1992,DECEPTION CR 247-41,6/9/1992,33464,179724,,2,AD,,,,,,,
TAGGED,312160,AK,ADFG,H,FORT RICHARDSON,1992,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,14.9,108,1993,DECEPTION CR 247-41,6/2/1993,39420,160194,,2,AD,,,,,,,
TAGGED,312317,AK,ADFG,H,FORT RICHARDSON,1993,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,13.5,104,1994,DECEPTION CR 247-41,5/24/1994,45919,177913,,2,AD,,,,,,,
TAGGED,312434,AK,ADFG,H,FORT RICHARDSON,1994,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,14.6,,1995,DECEPTION CR 247-41,5/25/1995,41965,167643,,2,AD,,,,,,,
TAGGED,312514,AK,ADFG,H,FORT RICHARDSON,1995,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,14.4,,1996,DECEPTION CR 247-41,6/18/1996,42595,169444,,2,AD,,,,,,,
TAGGED,312604,AK,ADFG,H,FORT RICHARDSON,1996,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.1,,1997,DECEPTION CR 247-41,6/20/1997,47051,47574,,2,AD,,,,REPLICATES: 312603 THRU 312607,,,
TAGGED,312607,AK,ADFG,H,FORT RICHARDSON,1996,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.1,,1997,DECEPTION CR 247-41,6/20/1997,20578,20807,,2,AD,,,,REPLICATES: 312603 THRU 312607,,,
TAGGED,312606,AK,ADFG,H,FORT RICHARDSON,1996,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.2,,1997,DECEPTION CR 247-41,6/20/1997,47215,47644,,2,AD,,,,REPLICATES: 312603 THRU 312607,,,
TAGGED,312603,AK,ADFG,H,FORT RICHARDSON,1996,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.3,,1997,DECEPTION CR 247-41,6/20/1997,47078,47315,,2,AD,,,,REPLICATES: 312603 THRU 312607,,,
TAGGED,312605,AK,ADFG,H,FORT RICHARDSON,1996,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.3,,1997,DECEPTION CR 247-41,6/20/1997,46072,46304,,2,AD,,,,REPLICATES: 312603 THRU 312607,,,
TAGGED,312532,AK,ADFG,H,FORT RICHARDSON,1997,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,11,,1998,DECEPTION CR 247-41,6/26/1998,195615,197392,,2,AD,,,,,,,
TAGGED,310131,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.5,100,1999,DECEPTION CR 247-41,6/17/1999,19191,19365,,2,AD,,,,REPLICATES 312617 THRU 310120,,,
TAGGED,312617,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.5,100,1999,DECEPTION CR 247-41,6/17/1999,44732,45138,,2,AD,,,,REPLICATES: 312618 312619 312620 310131,,,
TAGGED,312618,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.5,100,1999,DECEPTION CR 247-41,6/17/1999,45465,45878,,2,AD,,,,REPLICATES: 312617 312619 312620 310131,,,
TAGGED,312619,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.5,100,1999,DECEPTION CR 247-41,6/17/1999,46270,46690,,2,AD,,,,REPLICATES: 312617 312618 312620 310131,,,
TAGGED,312620,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.5,100,1999,DECEPTION CR 247-41,6/17/1999,44114,44515,,2,AD,,,,REPLICATES: 312617 312618 312619 310131,,,
TAGGED,310234,AK,ADFG,H,FORT RICHARDSON,1999,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.88,102,2000,DECEPTION CR 247-41,6/2/2000,45649,45925,,2,AD,,,,,,,
TAGGED,310235,AK,ADFG,H,FORT RICHARDSON,1999,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,11.88,102,2000,DECEPTION CR 247-41,6/2/2000,24695,24844,,2,AD,,,,,,,
TAGGED,310233,AK,ADFG,H,FORT RICHARDSON,1999,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,12.87,105,2000,DECEPTION CR 247-41,6/14/2000,45119,45437,,2,AD,,,,,,,
TAGGED,310144,AK,ADFG,H,FORT RICHARDSON,1999,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,13.1,105,2000,DECEPTION CR 247-41,6/14/2000,44093,44449,,2,AD,,,,,,,
TAGGED,312621,AK,ADFG,H,FORT RICHARDSON,1999,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,13.1,105,2000,DECEPTION CR 247-41,6/14/2000,45474,45841,,2,AD,,,,,,,
TAGGED,310244,AK,ADFG,H,FORT RICHARDSON,2000,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,13.9,104,2001,DECEPTION CR 247-41,6/18/2001,45637,46098,,2,AD,,,,,,,
TAGGED,310245,AK,ADFG,H,FORT RICHARDSON,2000,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,13.9,104,2001,DECEPTION CR 247-41,6/18/2001,29852,30154,,2,AD,,,,,,,
TAGGED,310241,AK,ADFG,H,FORT RICHARDSON,2000,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.2,107,2001,DECEPTION CR 247-41,6/19/2001,43518,44271,,2,AD,,,,,,,
TAGGED,310242,AK,ADFG,H,FORT RICHARDSON,2000,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.2,107,2001,DECEPTION CR 247-41,6/19/2001,44530,45300,,2,AD,,,,,,,
TAGGED,310243,AK,ADFG,H,FORT RICHARDSON,2000,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.2,107,2001,DECEPTION CR 247-41,6/19/2001,40934,41642,,2,AD,,,,,,,
TAGGED,310192,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,11.9,101,2002,DECEPTION CR 247-41,6/21/2002,9473,9482,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLETDC01CHINZ,,,,
TAGGED,310254,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,11.9,101,2002,DECEPTION CR 247-41,6/21/2002,46857,46904,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLETDC01CHINZ,,,,
TAGGED,310255,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,11.9,101,2002,DECEPTION CR 247-41,6/21/2002,46525,46572,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLETDC01CHINZ,,,,
TAGGED,310253,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.1,102,2002,DECEPTION CR 247-41,6/24/2002,46916,47104,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLETDC01CHINZ,,,,
TAGGED,310252,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.4,102,2002,DECEPTION CR 247-41,6/24/2002,46837,47215,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLETDC01CHINZ,,,,
TAGGED,310194,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.5,111,2003,DECEPTION CR 247-41,6/19/2003,10376,10545,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310270,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.5,111,2003,DECEPTION CR 247-41,6/19/2003,46038,46787,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310271,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,14.5,111,2003,DECEPTION CR 247-41,6/19/2003,43147,43849,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
TAGGED,310277,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.2,103,2004,DECEPTION CR 247-41,6/8/2004,43879,47851,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,REPLICATES: 310278 & 310316,,,
TAGGED,310278,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.2,103,2004,DECEPTION CR 247-41,6/8/2004,42838,46715,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,REPLICATES: 310277 & 310316,,,
TAGGED,310316,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.2,103,2004,DECEPTION CR 247-41,6/8/2004,17384,18957,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,REPLICATES: 310277 & 310278,,,
TAGGED,310328,AK,ADFG,H,FORT RICHARDSON,2003,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.5,104,2005,DECEPTION CR 247-41,6/6/2005,47463,47654,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,REPLICATE TO 310329,,,
TAGGED,310329,AK,ADFG,H,FORT RICHARDSON,2003,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.5,104,2005,DECEPTION CR 247-41,6/6/2005,47296,47486,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,REPLICATE TO 310328,,,
TAGGED,310330,AK,ADFG,H,FORT RICHARDSON,2003,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.6,104,2005,DECEPTION CR 247-41,6/6/2005,47339,47481,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,,,,
TAGGED,310331,AK,ADFG,H,FORT RICHARDSON,2003,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.7,103,2005,DECEPTION CR 247-41,6/6/2005,20334,20395,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,,,,
TAGGED,310327,AK,ADFG,H,FORT RICHARDSON,2004,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.5,,2006,DECEPTION CR 247-41,6/8/2006,14316,14316,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
TAGGED,310355,AK,ADFG,H,FORT RICHARDSON,2004,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.5,,2006,DECEPTION CR 247-41,6/8/2006,36074,36110,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
TAGGED,310326,AK,ADFG,H,FORT RICHARDSON,2005,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,9.5,96,2007,DECEPTION CR 247-41,5/29/2007,9791,9791,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
TAGGED,310367,AK,ADFG,H,FORT RICHARDSON,2005,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,9.5,96,2007,DECEPTION CR 247-41,5/29/2007,93225,93225,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
TAGGED,310371,AK,ADFG,H,FORT RICHARDSON,2006,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,11,100,2008,DECEPTION CR 247-41,6/16/2008,20948,21117,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
TAGGED,310373,AK,ADFG,H,FORT RICHARDSON,2006,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,11,100,2008,DECEPTION CR 247-41,6/16/2008,90373,91102,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
TAGGED,310349,AK,ADFG,H,FORT RICHARDSON,2007,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,6.8,,2009,DECEPTION CR 247-41,6/4/2009,10095,10095,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310350,AK,ADFG,H,FORT RICHARDSON,2007,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,6.8,,2009,DECEPTION CR 247-41,6/4/2009,11091,11091,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310377,AK,ADFG,H,FORT RICHARDSON,2007,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,6.8,,2009,DECEPTION CR 247-41,6/4/2009,90136,90136,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
TAGGED,310380,AK,ADFG,H,FORT RICHARDSON,2008,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,8.7,92,2010,DECEPTION CR 247-41,5/27/2010,114442,114671,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET08CHIN,,,,
TAGGED,310381,AK,ADFG,H,FORT RICHARDSON,2008,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,8.7,92,2010,DECEPTION CR 247-41,5/27/2010,40373,40454,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET08CHIN,,,,
NOT TAGGED,!01111ADFG02,AK,ADFG,H,FORT RICHARDSON,2009,DECEPTION CR 247-41,WILLOW CR 247-41,CHINOOK,SMOLT       ,12.5,,2011,DECEPTION CR 247-41,7/8/2011,0,140266,,2,AD+TM,"2,3H","1:1.2,2.3",COOKINLET09CHIN,,,,
TAGGED,311733,AK,ADFG,H,FORT RICHARDSON,1985,DESHKA R,,CHINOOK,,17.3,,1986,DECEPTION+ANDERSON,6/2/1986,29507,163203,,2,AD,,,,70% RELEASED AT ANDERSON BAY,,,
NOT TAGGED,!12041ADFG08,AK,ADFG,H,FORT RICHARDSON,2002,SHIP CR,,CHINOOK,SMOLT       ,13.4,,2004,EKLUTNA R 247-50,5/21/2004,0,215165,,2,TM,"2,3H","1:1.2,2.3",COOKINLET02CHIN,,,,
NOT TAGGED,!12051ADFG08,AK,ADFG,H,FORT RICHARDSON,2003,SHIP CR,,CHINOOK,SMOLT       ,14,,2005,EKLUTNA R 247-50,6/1/2005,0,164586,,2,TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,,,,
NOT TAGGED,!12031ADFG08,AK,ADFG,H,FORT RICHARDSON,2002,SHIP CR,,CHINOOK,SMOLT       ,12.4,,2003,EKLUTNA TAILRACE 247-50,6/4/2003,0,218492,,2,TM,"2,3H","1:1.2,2.3",COOKINLET02CHINZ,,,,
NOT TAGGED,!01061ADFG06,AK,ADFG,H,FORT RICHARDSON,2004,SHIP CR,,CHINOOK,SMOLT       ,10.6,,2006,EKLUTNA TAILRACE 247-50,6/1/2006,0,213250,,2,TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
NOT TAGGED,!01071ADFG01,AK,ADFG,H,FORT RICHARDSON,2005,SHIP CR,,CHINOOK,SMOLT       ,8.9,,2007,EKLUTNA TAILRACE 247-50,5/30/2007,0,110978,,2,TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
NOT TAGGED,!01081ADFG02,AK,ADFG,H,FORT RICHARDSON,2006,SHIP CR,,CHINOOK,SMOLT       ,9.3,,2008,EKLUTNA TAILRACE 247-50,5/27/2008,0,114136,,2,TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
NOT TAGGED,!01091ADFG02,AK,ADFG,H,FORT RICHARDSON,2007,SHIP CR,,CHINOOK,SMOLT       ,7,,2009,EKLUTNA TAILRACE 247-50,6/12/2009,0,77785,,2,TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
NOT TAGGED,!01101ADFG04,AK,ADFG,H,FORT RICHARDSON,2008,SHIP CR,,CHINOOK,SMOLT       ,9.4,,2010,EKLUTNA TAILRACE 247-50,5/21/2010,0,152014,,2,TM,"2,3H","1:1.2,2.3",COOKINLET08CHIN,,,,
NOT TAGGED,!01111ADFG03,AK,ADFG,H,FORT RICHARDSON,2009,SHIP CR,,CHINOOK,SMOLT       ,10.6,,2011,EKLUTNA TAILRACE 247-50,6/3/2011,0,122962,,2,TM,"2,3H","1:1.2,2.3",COOKINLET09CHIN,,,,
NOT TAGGED,!12051ADFG06,AK,ADFG,H,FORT RICHARDSON,2003,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,13.2,,2005,FISH CR 241-11,6/7/2005,0,114984,,2,TM,"2,3H","1:1.2,2.3",COOKINLET03CHIN,,,,
NOT TAGGED,!01061ADFG03,AK,ADFG,H,FORT RICHARDSON,2004,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,11.4,,2006,FISH CR 241-11,5/30/2006,0,113974,,2,TM,"2,3H","1:1.2,2.3",COOKINLET04CHIN,,,,
NOT TAGGED,!01071ADFG04,AK,ADFG,H,FORT RICHARDSON,2005,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,10.5,,2007,FISH CR 241-11,6/5/2007,0,54276,,2,TM,"2,3H","1:1.2,2.3",COOKINLET05CHIN,,,,
NOT TAGGED,!01081ADFG06,AK,ADFG,H,FORT RICHARDSON,2006,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,12,,2008,FISH CR 241-11,6/3/2008,0,54464,,2,TM,"2,3H","1:1.2,2.3",COOKINLET06CHIN,,,,
NOT TAGGED,!01091ADFG03,AK,ADFG,H,FORT RICHARDSON,2007,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,9.4,,2009,FISH CR 241-11,6/16/2009,0,44487,,2,TM,"2,3H","1:1.2,2.3",COOKINLET07CHIN,,,,
NOT TAGGED,!01101ADFG10,AK,ADFG,H,FORT RICHARDSON,2008,NINILCHIK R 244-20,,CHINOOK,SMOLT       ,10.1,,2010,FISH CR 241-11,6/17/2010,0,114421,,2,TM,"2,3H","1:1.2,2.3",COOKINLET08CHIN,,,,
TAGGED,312623,AK,ADFG,H,FORT RICHARDSON,1998,DECEPTION CR 247-41,DECEPTION CR 247-41,CHINOOK,SMOLT       ,14.1,108,1999,FLEMING SPIT 221-10,6/14/1999,45385,49773,,2,AD,,,,,,,
TAGGED,310257,AK,ADFG,H,FORT RICHARDSON,2001,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,12.5,102,2002,FLEMING SPIT 221-10,6/10/2002,39573,109656,,2,AD+TM,"2,4H","1:1.2,2.4",PWS01CHINZ,,,,
NOT TAGGED,!12031ADFG11,AK,ADFG,H,FORT RICHARDSON,2002,DECEPTION CR 247-41,,CHINOOK,SMOLT       ,13.7,,2003,FLEMING SPIT 221-10,6/21/2003,0,109757,,2,TM,"2,4H","1:1.2,2.4",PWS02CHINZ,,,,
