Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
NOT TAGGED,!12911ADFG01,AK,ADFG,H,CROOKED CREEK,1989,KASILOF R,,CHINOOK,SMOLT       ,26,,1991,SEWARD LAGOON 231-30,6/25/1991,0,273500,,2,NO MARK,,,,,,,COVE CR 224-10
TAGGED,312146,AK,ADFG,H,CROOKED CREEK,1990,KASILOF R,KASILOF R,CHINOOK,SMOLT       ,20,,1992,SEWARD LAGOON 231-30,6/30/1992,21593,146993,R,2,AD,,,,,,,CRAB BAY 103-60
NOT TAGGED,!12931ADFG02,AK,ADFG,H,CROOKED CREEK,1991,KASILOF R,,CHINOOK,SMOLT       ,15,,1993,SEWARD LAGOON 231-30,6/29/1993,0,86560,,2,NO MARK,,,,,,,CRAWFISH INLET 113-33
TAGGED,312206,AK,ADFG,H,CROOKED CREEK,1991,KASILOF R,KASILOF R,CHINOOK,SMOLT       ,,,1993,TWIN FALLS CR 244-70 (B),7/21/1993,28392,100000,,2,AD,,,,,,,CRESCENT BAY 113-41
TAGGED,040102*1,AK,ADFG,H,CRYSTAL LAKE,1972,CHIGNIK R,,CHINOOK,,26.68,,1973,CRYSTAL CR 106-44,6/1/1973,1140,1140,,1,AD,,,,,,,CROOKED CR 244-30
NOT TAGGED,!01741ADFG01,AK,ADFG,H,CRYSTAL LAKE,1972,NON ALASKA,,CHINOOK,SMOLT       ,28.58,,1974,CRYSTAL CR 106-44,5/20/1974,0,48376,,1,RV,,,,WASHINGTON CARSON RIVER STOCK,,,CRYSTAL CR 106-44
NOT TAGGED,!01741ADFG02,AK,ADFG,H,CRYSTAL LAKE,1972,NON ALASKA,,CHINOOK,SMOLT       ,28.58,,1974,CRYSTAL CR 106-44,5/20/1974,0,86015,,1,AD,,,,WASHINGTON CARSON RIVER STOCK,,,DECEPTION CR 247-41
NOT TAGGED,!01751ADFG01,AK,ADFG,H,CRYSTAL LAKE,1974,CROOKED CR 244-30,,CHINOOK,FINGERLING  ,6.8,,1975,CRYSTAL CR 106-44,6/10/1975,0,21736,,1,D,,,,,,,DECEPTION+ANDERSON
NOT TAGGED,!01751ADFG02,AK,ADFG,H,CRYSTAL LAKE,1974,SHIP CR,,CHINOOK,FINGERLING  ,6.8,,1975,CRYSTAL CR 106-44,6/10/1975,0,40365,,1,D,,,,,,,DEEP INLET 113-41
NOT TAGGED,!01761ADFG01,AK,ADFG,H,CRYSTAL LAKE,1975,CHICKAMIN R 101-71,,CHINOOK,SMOLT       ,15.12,,1976,CRYSTAL CR 106-44,6/15/1976,0,8500,,1,D,,,,,,,DREDGE LK 111-50
NOT TAGGED,!01761ADFG02,AK,ADFG,H,CRYSTAL LAKE,1975,S-NAKINA R,,CHINOOK,SMOLT       ,19.22,,1976,CRYSTAL CR 106-44,6/15/1976,0,4100,,1,LV,,,,,,,EAGLE R 247-50
TAGGED,41616,AK,ADFG,H,CRYSTAL LAKE,1976,ANDREW CR 108-40,,CHINOOK,,10.3,,1977,CRYSTAL CR 106-44,6/1/1977,71227,166030,,1,AD,,,,,,,EARL WEST COV 107-40
TAGGED,040102*2,AK,ADFG,H,CRYSTAL LAKE,1976,KING SALMON R,,CHINOOK,,20.43,,1977,CRYSTAL CR 106-44,6/1/1977,2798,3099,,1,AD,,,,,,,EKLUTNA R 247-50
TAGGED,41835,AK,ADFG,H,CRYSTAL LAKE,1977,ANDREW CR 108-40,,CHINOOK,,7.75,,1978,CRYSTAL CR 106-44,5/1/1978,21494,21580,,1,AD,,,,,,,EKLUTNA TAILRACE 247-50
TAGGED,41836,AK,ADFG,H,CRYSTAL LAKE,1977,ANDREW CR 108-40,,CHINOOK,,7.75,,1978,CRYSTAL CR 106-44,5/1/1978,21135,21221,,1,AD,,,,,,,ELIZA LK 109-30
TAGGED,41837,AK,ADFG,H,CRYSTAL LAKE,1977,ANDREW CR 108-40,,CHINOOK,,7.75,,1978,CRYSTAL CR 106-44,5/1/1978,13248,13301,,1,AD,,,,,,,ENGLISH BAY L 241-30
TAGGED,41931,AK,ADFG,H,CRYSTAL LAKE,1978,ANDREW CR 108-40,,CHINOOK,,4.61,,1979,CRYSTAL CR 106-44,6/1/1979,14254,14634,,1,AD,,,,,,,FARRAGUT LK 110-14
TAGGED,41927,AK,ADFG,H,CRYSTAL LAKE,1979,ANDREW CR 108-40,,CHINOOK,,8.24,,1980,CRYSTAL CR 106-44,5/1/1980,12965,13676,,1,AD,,,,,,,FARRAGUT R 110-14
TAGGED,42042,AK,ADFG,H,CRYSTAL LAKE,1979,ANDREW CR 108-40,,CHINOOK,,38.11,,1981,CRYSTAL CR 106-44,5/1/1981,18530,19989,,1,AD,,,,,,,FISH CR 111-50
TAGGED,42043,AK,ADFG,H,CRYSTAL LAKE,1979,ANDREW CR 108-40,,CHINOOK,,38.11,,1981,CRYSTAL CR 106-44,5/1/1981,18682,20153,,1,AD,,,,,,,FISH CR 241-11
TAGGED,42045,AK,ADFG,H,CRYSTAL LAKE,1979,ANDREW CR 108-40,,CHINOOK,,38.11,,1981,CRYSTAL CR 106-44,5/1/1981,1905,2055,,1,AD,,,,,,,FLEMING SPIT 221-10
TAGGED,42202,AK,ADFG,H,CRYSTAL LAKE,1980,ANDREW+CRYSTAL,ANDREW CR 108-40,CHINOOK,,42.79,,1982,CRYSTAL CR 106-44,5/23/1982,56660,273849,,1,AD,,,,,,,FRITZ COVE 111-50
TAGGED,42205,AK,ADFG,H,CRYSTAL LAKE,1981,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,,4.56,,1982,CRYSTAL CR 106-44,6/14/1982,57235,59127,,1,AD,,,,,,,GASTINEAU CH 111-40
TAGGED,42229,AK,ADFG,H,CRYSTAL LAKE,1981,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.2,,1983,CRYSTAL CR 106-44,5/16/1983,58156,137868,,1,AD,,,,,,,GENGEN LK OHMER CR
TAGGED,42356,AK,ADFG,H,CRYSTAL LAKE,1982,ANDREW CR 108-40,,CHINOOK,,20.4,,1984,CRYSTAL CR 106-44,5/15/1984,30440,212000,,1,AD,,,,,,,GRANITE BAY 223-20
TAGGED,42355,AK,ADFG,H,CRYSTAL LAKE,1982,ANDREW CR 108-40,,CHINOOK,,23,,1984,CRYSTAL CR 106-44,5/15/1984,30569,204000,,1,AD,,,,,,,GRANITE CR 247-60
TAGGED,42354,AK,ADFG,H,CRYSTAL LAKE,1982,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,20.4,,1984,CRYSTAL CR 106-44,5/15/1984,32456,150000,,1,AD,,,,,,,HALIBUT CV LAG241-15
TAGGED,42511,AK,ADFG,H,CRYSTAL LAKE,1983,ANDREW+CRYSTAL,ANDREW CR 108-40,CHINOOK,SMOLT       ,22.9,,1985,CRYSTAL CR 106-44,5/13/1985,9646,45000,,1,AD,,,,,,,HALIBUT PT 113-40
TAGGED,42512,AK,ADFG,H,CRYSTAL LAKE,1983,ANDREW+CRYSTAL,ANDREW CR 108-40,CHINOOK,SMOLT       ,22.9,,1985,CRYSTAL CR 106-44,5/13/1985,9201,45000,,1,AD,,,,,,,HARDING R 107-40
