AreaID,River,Run,1,2,3,4,5
5,Torpy,2,0,0,14,84,2
5,Willow,2,0,2,18,79,2
5,SF Thompson,2,1,1,51,44,4
5,Harrison,2,0,24,74,2,0
5,Stilliquamish,2,4,20,59,7,0
4,Quilayute,2,0,2,28,52,18
3,Wenatchee,2,1,8,34,46,3
3,Wenatchee,2,1,3,44,54,1
3,Methow,2,0,9,27,57,5
3,Okanogan,2,0,21,44,34,1
