predator,sex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1,128304892,191418042,259401800,325997861,392211624,449294230,498659890,542948969,579227282,611400329,633069528,652851207,667540929,717495564,764753512,812592155,858005758,904106534,946533294,991196773,1033784309,1032317886,1033674215,1033618389,1034972507
1,2,128304892,191418042,259401800,325997861,392211624,449294230,498659890,542948969,579227282,611400329,633069528,652851207,667540929,690212298,712643401,733253733,753678034,775472011,795521815,815404517,836642362,835068716,833488955,836462573,836400977
2,1,2823278,6812187,7790024,9148493,10846199,12845911,13598883,13682825,14132066,14650135,14445102,14672930,15184537,14909598,14909598,14909598,14909598,14909598,14909598,14909598,14909598,14909598,14909598,14909598,14909598
2,2,2823278,6944842,8521163,9236995,10734033,12215185,12636245,13216702,13466697,13474365,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699,14362699
3,1,9854309,17838791,23822302,31640867,40962282,51288184,62000615,72372443,81795808,89493885,95406193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,9854309,15006487,22742050,27993035,31315229,33571948,34523643,35466670,35779154,36090730,36090730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,10685490,24164291,30857403,43570082,59373702,78466052,99668802,122438955,135559585,146558018,155049551,161548062,166319531,169777666,172130272,173752735,175011165,175728915,176266587,176624731,176803713,176982634,177161494,177161494,177161494
4,2,10685490,24352830,29631153,42220679,53921474,66145839,75671768,79424671,82069408,84425592,86243111,87533550,88561351,89585190,90095648,90605144,91113686,91367603,91621285,91874732,92127947,92127947,92380930,92380930,92380930
