species,run,brood_year,year,first_release_date,last_release_date,mon,release_stage,rearing_type,avg_weight,avg_length,cwt_1st_mark_count,cwt_2nd_mark_count,non_cwt_1st_mark_count,non_cwt_2nd_mark_count,total,release_location_name,hatchery_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,area,areaID,run2
1,2,1999,2000,20000517,20000517,5,S,H,4.03,,25185,,232209,,257394,,H-Nanaimo River H,BC,GST,GSVI,S_SEA,5,2
1,1,1988,1990,19900402,19900402,4,S,H,21.83,,42187,301,1205,214129,257822,LOOKINGGLASS CR,LOOKINGGLASS HATCH,OR,SNAK,GRIA,CR,3,1
1,1,2013,2015,20150316,20150325,3,S,H,59.68,,31947,,219129,6887,257963,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2008,2010,20100608,20100608,6,S,H,21.07,,33399,,223568,1033,258000,,MACAULAY,AK,SEAK,SENE,SEAK,7,1
1,1,2006,2008,20080305,20080305,3,S,H,43.12,,32528,,225631,,258159,WILLAMETTE R M FK-1,WILLAMETTE HATCHERY,OR,LOCR,WILL,CR,3,1
1,3,1981,1982,198206,19820604,6,S,H,7.9,,49953,,208029,251,258233,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,1,2007,2008,20080720,20080720,7,S,H,21.22,,13994,,244428,,258422,,MEDVEJIE,AK,SEAK,SENW,SEAK,7,1
1,2,1973,1975,19750430,19750430,4,S,H,151.19,,17205,,240653,589,258447,,SOLDUC HATCHERY,WA,NWC,,WA,4,2
1,1,2005,2007,20070226,20070314,3,S,H,47.45,,48353,,203953,6265,258571,CEDAR CR #1 (SANDY R,CLACKAMAS HATCHERY,OR,LOCR,SAND,CR,3,1
1,8,2010,2012,20120308,20120308,3,S,H,40.39,,254769,,3879,,258648,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,1,2008,2009,20090723,20090821,8,G,H,6.57,,108210,,150590,,258800,DETROIT RES (SANTIAM,MARION FORKS HATCH,OR,LOCR,WILL,CR,3,1
1,1,2010,2012,20120320,20120320,3,S,H,30.96,,23667,,235256,,258923,BLIND SL (LWR COL R),CEDC YOUNGS BAY NET,OR,LOCR,YOCL,CR,3,1
1,1,1988,1990,19900402,19900402,4,S,H,21.62,,41780,84,2102,215008,258974,LOOKINGGLASS CR,LOOKINGGLASS HATCH,OR,SNAK,GRIA,CR,3,1
1,1,1991,1993,19930326,19930326,3,S,H,34.88,,39995,,218476,529,259000,LEWIS R      27.0168,LEWIS RIVER HATCHERY,WA,LOCR,LEWI,CR,3,1
1,3,1972,1973,197306,19730619,6,S,H,5.4,,39013,,220104,,259117,,H-Robertson Creek H,BC,WCVI,SWVI,WCVI_BC,6,3
1,2,2013,2014,20140612,20140612,6,S,H,4.95,,47047,,210574,1791,259412,,H-Snootli Creek H,BC,COBC,CCST,WCVI_BC,6,2
1,8,2000,2002,20020301,20020308,3,S,H,50.23,,26355,51,510,232691,259607,UMATILLA R,BONNEVILLE HATCHERY,OR,CECR,UMAT,CR,3,9
1,3,1977,1978,19780525,19780525,5,G,H,3.47,,52160,,206900,902,259962,LTL WHITE SALMON@NFH,LTL WHITE SALMON NFH,WA,CECR,WIND,CR,3,3
1,1,1982,1983,19831010,19831013,10,P,H,21.62,,60900,,197216,1884,260000,RED RIVER: SFK CLWTR,RED RIVER PONDS,ID,SNAK,CLEA,CR,3,1
1,1,2013,2015,20150319,20150319,3,S,H,30.24,,25772,314,232967,1040,260093,TONGUE PT (ASTORIA),MARION FORKS HATCH,OR,LOCR,YOCL,CR,3,1
