HomeArea,Predator,Year,yi,Abundance,UpdatedCSLForCenCA
2,3,2009,40,53.00,53.00
2,3,2010,41,56.00,56.00
2,3,2011,42,59.00,59.00
2,3,2012,43,62.00,62.00
2,3,2013,44,65.00,65.00
2,3,2014,45,69.00,69.00
2,3,2015,46,73.00,73.00
2,4,1970,1,2671.00,2671.00
2,4,1971,2,2749.00,2749.00
2,4,1972,3,2829.00,2829.00
2,4,1973,4,2912.00,2912.00
2,4,1974,5,2997.00,2997.00
2,4,1975,6,3086.00,3086.00
2,4,1976,7,3177.00,3177.00
2,4,1977,8,3271.00,3271.00
2,4,1978,9,3368.00,3368.00
2,4,1979,10,3469.00,3469.00
2,4,1980,11,3573.00,3573.00
2,4,1981,12,3680.00,3680.00
2,4,1982,13,3790.00,3790.00
2,4,1983,14,3904.00,3904.00
2,4,1984,15,4022.00,4022.00
2,4,1985,16,4144.00,4144.00
2,4,1986,17,4270.00,4270.00
2,4,1987,18,4400.00,4400.00
2,4,1988,19,4534.00,4534.00
2,4,1989,20,4672.00,4672.00
2,4,1990,21,4815.00,4815.00
2,4,1991,22,4963.00,4963.00
2,4,1992,23,5116.00,5116.00
2,4,1993,24,5274.00,5274.00
2,4,1994,25,5436.00,5436.00
2,4,1995,26,5605.00,5605.00
2,4,1996,27,5779.00,5779.00
2,4,1997,28,5958.00,5958.00
2,4,1998,29,6144.00,6144.00
2,4,1999,30,6335.00,6335.00
2,4,2000,31,6533.00,6533.00
2,4,2001,32,6738.00,6738.00
2,4,2002,33,6950.00,6950.00
2,4,2003,34,7168.00,7168.00
2,4,2004,35,7394.00,7394.00
2,4,2005,36,7627.00,7627.00
2,4,2006,37,7868.00,7868.00
2,4,2007,38,8117.00,8117.00
2,4,2008,39,8374.00,8374.00
2,4,2009,40,8640.00,8640.00
2,4,2010,41,8915.00,8915.00
2,4,2011,42,9199.00,9199.00
2,4,2012,43,9493.00,9493.00
2,4,2013,44,9796.00,9796.00
2,4,2014,45,10109.00,10109.00
2,4,2015,46,10433.00,10433.00
3,2,1970,1,210.00,210.00
3,2,1971,2,221.00,221.00
3,2,1972,3,232.00,232.00
3,2,1973,4,245.00,245.00
3,2,1974,5,257.00,257.00
3,2,1975,6,271.00,271.00
3,2,1976,7,285.00,285.00
3,2,1977,8,300.00,300.00
3,2,1978,9,316.00,316.00
3,2,1979,10,333.00,333.00
3,2,1980,11,350.00,350.00
3,2,1981,12,369.00,369.00
3,2,1982,13,388.00,388.00
3,2,1983,14,409.00,409.00
3,2,1984,15,430.00,430.00
3,2,1985,16,453.00,453.00
3,2,1986,17,477.00,477.00
3,2,1987,18,502.00,502.00
3,2,1988,19,528.00,528.00
3,2,1989,20,556.00,556.00
3,2,1990,21,585.00,585.00
3,2,1991,22,616.00,616.00
3,2,1992,23,649.00,649.00
3,2,1993,24,683.00,683.00
3,2,1994,25,719.00,719.00
3,2,1995,26,757.00,757.00
3,2,1996,27,796.00,796.00
3,2,1997,28,838.00,838.00
3,2,1998,29,883.00,883.00
3,2,1999,30,929.00,929.00
3,2,2000,31,978.00,978.00
3,2,2001,32,1029.00,1029.00
3,2,2002,33,1084.00,1084.00
3,2,2003,34,1141.00,1141.00
3,2,2004,35,1201.00,1201.00
3,2,2005,36,1264.00,1264.00
3,2,2006,37,1331.00,1331.00
3,2,2007,38,1401.00,1401.00
3,2,2008,39,1475.00,1475.00
3,2,2009,40,1552.00,1552.00
3,2,2010,41,1634.00,1634.00
3,2,2011,42,1720.00,1720.00
3,2,2012,43,1811.00,1811.00
3,2,2013,44,1906.00,1906.00
3,2,2014,45,2007.00,2007.00
3,2,2015,46,6000.00,6000.00
3,3,1990,21,9.00,9.00
3,3,1991,22,11.00,11.00
3,3,1992,23,13.00,13.00
3,3,1993,24,16.00,16.00
3,3,1994,25,19.00,19.00
3,3,1995,26,23.00,23.00
3,3,1996,27,28.00,28.00
3,3,1997,28,34.00,34.00
3,3,1998,29,41.00,41.00
3,3,1999,30,50.00,50.00
3,3,2000,31,60.00,60.00
3,3,2001,32,73.00,73.00
3,3,2002,33,88.00,88.00
3,3,2003,34,107.00,107.00
3,3,2004,35,200.00,200.00
3,3,2005,36,245.00,245.00
3,3,2006,37,136.00,136.00
3,3,2007,38,188.00,188.00
3,3,2008,39,272.00,272.00
3,3,2009,40,375.00,375.00
3,3,2010,41,357.00,357.00
3,3,2011,42,303.00,303.00
3,3,2012,43,242.00,242.00
3,3,2013,44,738.00,738.00
3,3,2014,45,1426.00,1426.00
3,3,2015,46,2058.00,2058.00
3,4,1995,26,23.00,23.00
3,4,1996,27,28.00,28.00
3,4,1997,28,34.00,34.00
3,4,1998,29,41.00,41.00
3,4,1999,30,50.00,50.00
3,4,2000,31,60.00,60.00
3,4,2001,32,73.00,73.00
3,4,2002,33,88.00,88.00
3,4,2003,34,107.00,107.00
3,4,2004,35,200.00,200.00
3,4,2005,36,245.00,245.00
3,4,2006,37,136.00,136.00
3,4,2007,38,188.00,188.00
3,4,2008,39,272.00,272.00
3,4,2009,40,375.00,375.00
3,4,2010,41,357.00,357.00
3,4,2011,42,303.00,303.00
3,4,2012,43,242.00,242.00
3,4,2013,44,738.00,738.00
3,4,2014,45,1426.00,1426.00
3,4,2015,46,2058.00,2058.00
4,2,1970,1,1722.00,1722.00
4,2,1971,2,2110.00,2110.00
4,2,1972,3,2544.00,2544.00
4,2,1973,4,3026.00,3026.00
4,2,1974,5,3554.00,3554.00
4,2,1975,6,4125.00,4125.00
4,2,1976,7,4735.00,4735.00
4,2,1977,8,5382.00,5382.00
4,2,1978,9,6063.00,6063.00
4,2,1979,10,6770.00,6770.00
4,2,1980,11,7500.00,7500.00
4,2,1981,12,8248.00,8248.00
4,2,1982,13,9006.00,9006.00
4,2,1983,14,9761.00,9761.00
4,2,1984,15,10518.00,10518.00
4,2,1985,16,11274.00,11274.00
4,2,1986,17,12017.00,12017.00
4,2,1987,18,12757.00,12757.00
4,2,1988,19,13472.00,13472.00
4,2,1989,20,14165.00,14165.00
4,2,1990,21,14834.00,14834.00
4,2,1991,22,15481.00,15481.00
4,2,1992,23,16092.00,16092.00
4,2,1993,24,16671.00,16671.00
4,2,1994,25,17219.00,17219.00
4,2,1995,26,17752.00,17752.00
4,2,1996,27,18263.00,18263.00
4,2,1997,28,18760.00,18760.00
4,2,1998,29,19234.00,19234.00
4,2,1999,30,19681.00,19681.00
4,2,2000,31,20122.00,20122.00
4,2,2001,32,20538.00,20538.00
4,2,2002,33,20932.00,20932.00
4,2,2003,34,21306.00,21306.00
4,2,2004,35,21654.00,21654.00
4,2,2005,36,21985.00,21985.00
4,2,2006,37,22294.00,22294.00
4,2,2007,38,22586.00,22586.00
4,2,2008,39,22858.00,22858.00
4,2,2009,40,23115.00,23115.00
4,2,2010,41,23355.00,23355.00
4,2,2011,42,23578.00,23578.00
4,2,2012,43,23788.00,23788.00
4,2,2013,44,23986.00,23986.00
4,2,2014,45,24170.00,24170.00
4,2,2015,46,24340.00,24340.00
4,3,1970,1,68.00,68.00
4,3,1971,2,72.00,72.00
4,3,1972,3,76.00,76.00
4,3,1973,4,80.00,80.00
4,3,1974,5,84.00,84.00
4,3,1975,6,88.00,88.00
4,3,1976,7,93.00,93.00
4,3,1977,8,98.00,98.00
4,3,1978,9,103.00,103.00
4,3,1979,10,108.00,108.00
4,3,1980,11,114.00,114.00
4,3,1981,12,120.00,120.00
4,3,1982,13,127.00,127.00
4,3,1983,14,133.00,133.00
4,3,1984,15,141.00,141.00
4,3,1985,16,148.00,148.00
4,3,1986,17,156.00,156.00
4,3,1987,18,164.00,164.00
4,3,1988,19,173.00,173.00
4,3,1989,20,182.00,182.00
4,3,1990,21,192.00,192.00
4,3,1991,22,202.00,202.00
4,3,1992,23,213.00,213.00
4,3,1993,24,224.00,224.00
4,3,1994,25,236.00,236.00
4,3,1995,26,248.00,248.00
4,3,1996,27,262.00,262.00
4,3,1997,28,276.00,276.00
4,3,1998,29,290.00,290.00
4,3,1999,30,306.00,306.00
4,3,2000,31,322.00,322.00
4,3,2001,32,339.00,339.00
4,3,2002,33,357.00,357.00
4,3,2003,34,376.00,376.00
4,3,2004,35,396.00,396.00
4,3,2005,36,417.00,417.00
4,3,2006,37,439.00,439.00
4,3,2007,38,463.00,463.00
4,3,2008,39,487.00,487.00
4,3,2009,40,513.00,513.00
4,3,2010,41,540.00,540.00
4,3,2011,42,569.00,569.00
4,3,2012,43,599.00,599.00
4,3,2013,44,631.00,631.00
4,3,2014,45,665.00,665.00
4,3,2015,46,700.00,700.00
4,4,1970,1,58.00,58.00
4,4,1971,2,63.00,63.00
4,4,1972,3,69.00,69.00
4,4,1973,4,76.00,76.00
4,4,1974,5,83.00,83.00
4,4,1975,6,91.00,91.00
4,4,1976,7,99.00,99.00
4,4,1977,8,108.00,108.00
4,4,1978,9,118.00,118.00
4,4,1979,10,130.00,130.00
4,4,1980,11,142.00,142.00
4,4,1981,12,155.00,155.00
4,4,1982,13,170.00,170.00
4,4,1983,14,185.00,185.00
4,4,1984,15,203.00,203.00
4,4,1985,16,222.00,222.00
4,4,1986,17,243.00,243.00
4,4,1987,18,265.00,265.00
4,4,1988,19,290.00,290.00
4,4,1989,20,317.00,317.00
4,4,1990,21,347.00,347.00
4,4,1991,22,379.00,379.00
4,4,1992,23,415.00,415.00
4,4,1993,24,454.00,454.00
4,4,1994,25,496.00,496.00
4,4,1995,26,543.00,543.00
4,4,1996,27,594.00,594.00
4,4,1997,28,649.00,649.00
4,4,1998,29,710.00,710.00
4,4,1999,30,777.00,777.00
4,4,2000,31,849.00,849.00
4,4,2001,32,929.00,929.00
4,4,2002,33,1016.00,1016.00
4,4,2003,34,1111.00,1111.00
4,4,2004,35,1215.00,1215.00
4,4,2005,36,1329.00,1329.00
4,4,2006,37,1453.00,1453.00
4,4,2007,38,1590.00,1590.00
4,4,2008,39,1738.00,1738.00
4,4,2009,40,1901.00,1901.00
4,4,2010,41,2079.00,2079.00
4,4,2011,42,2274.00,2274.00
4,4,2012,43,2487.00,2487.00
4,4,2013,44,2720.00,2720.00
4,4,2014,45,2975.00,2975.00
4,4,2015,46,3253.00,3253.00
5,1,1970,1,80.00,80.00
5,1,1971,2,67.00,67.00
5,1,1972,3,69.00,69.00
5,1,1973,4,67.00,67.00
5,1,1974,5,69.00,69.00
5,1,1975,6,71.00,71.00
5,1,1976,7,70.00,70.00
5,1,1977,8,79.00,79.00
5,1,1978,9,79.00,79.00
5,1,1979,10,81.00,81.00
5,1,1980,11,83.00,83.00
5,1,1981,12,81.00,81.00
5,1,1982,13,78.00,78.00
5,1,1983,14,76.00,76.00
5,1,1984,15,74.00,74.00
5,1,1985,16,77.00,77.00
5,1,1986,17,81.00,81.00
5,1,1987,18,84.00,84.00
5,1,1988,19,85.00,85.00
5,1,1989,20,85.00,85.00
5,1,1990,21,89.00,89.00
5,1,1991,22,92.00,92.00
5,1,1992,23,91.00,91.00
5,1,1993,24,97.00,97.00
5,1,1994,25,96.00,96.00
5,1,1995,26,98.00,98.00
5,1,1996,27,97.00,97.00
5,1,1997,28,92.00,92.00
5,1,1998,29,89.00,89.00
5,1,1999,30,85.00,85.00
5,1,2000,31,83.00,83.00
5,1,2001,32,80.00,80.00
5,1,2002,33,82.00,82.00
5,1,2003,34,82.00,82.00
5,1,2004,35,87.00,87.00
5,1,2005,36,87.00,87.00
5,1,2006,37,84.00,84.00
5,1,2007,38,87.00,87.00
5,1,2008,39,83.00,83.00
5,1,2009,40,86.00,86.00
5,1,2010,41,86.00,86.00
5,1,2011,42,88.00,88.00
5,1,2012,43,84.00,84.00
5,1,2013,44,82.00,82.00
5,1,2014,45,78.00,78.00
5,1,2015,46,79.00,79.00
5,2,1970,1,4228.00,4228.00
5,2,1971,2,4896.00,4896.00
5,2,1972,3,5667.00,5667.00
5,2,1973,4,6548.00,6548.00
5,2,1974,5,7534.00,7534.00
5,2,1975,6,8628.00,8628.00
5,2,1976,7,9838.00,9838.00
5,2,1977,8,11150.00,11150.00
5,2,1978,9,12570.00,12570.00
5,2,1979,10,14089.00,14089.00
5,2,1980,11,15699.00,15699.00
5,2,1981,12,17396.00,17396.00
5,2,1982,13,19165.00,19165.00
5,2,1983,14,21017.00,21017.00
5,2,1984,15,22935.00,22935.00
5,2,1985,16,24908.00,24908.00
5,2,1986,17,26930.00,26930.00
5,2,1987,18,28999.00,28999.00
5,2,1988,19,31102.00,31102.00
5,2,1989,20,33219.00,33219.00
5,2,1990,21,35353.00,35353.00
5,2,1991,22,37476.00,37476.00
5,2,1992,23,39600.00,39600.00
5,2,1993,24,41715.00,41715.00
5,2,1994,25,43812.00,43812.00
5,2,1995,26,45856.00,45856.00
5,2,1996,27,47865.00,47865.00
5,2,1997,28,49803.00,49803.00
5,2,1998,29,51701.00,51701.00
5,2,1999,30,53582.00,53582.00
5,2,2000,31,55434.00,55434.00
5,2,2001,32,57234.00,57234.00
5,2,2002,33,58988.00,58988.00
5,2,2003,34,60694.00,60694.00
5,2,2004,35,62357.00,62357.00
5,2,2005,36,63971.00,63971.00
5,2,2006,37,65534.00,65534.00
5,2,2007,38,67045.00,67045.00
5,2,2008,39,68506.00,68506.00
5,2,2009,40,69976.00,69976.00
5,2,2010,41,71398.00,71398.00
5,2,2011,42,72768.00,72768.00
5,2,2012,43,74091.00,74091.00
5,2,2013,44,75366.00,75366.00
5,2,2014,45,76613.00,76613.00
5,2,2015,46,77812.00,77812.00
5,3,1970,1,66.00,66.00
5,3,1971,2,86.00,86.00
5,3,1972,3,89.00,89.00
5,3,1973,4,111.00,111.00
5,3,1974,5,186.00,186.00
5,3,1975,6,171.00,171.00
5,3,1976,7,210.00,210.00
5,3,1977,8,192.00,192.00
5,3,1978,9,464.00,464.00
5,3,1979,10,206.00,206.00
5,3,1980,11,415.00,415.00
5,3,1981,12,472.00,472.00
5,3,1982,13,528.00,528.00
5,3,1983,14,580.00,580.00
5,3,1984,15,626.00,626.00
5,3,1985,16,666.00,666.00
5,3,1986,17,699.00,699.00
5,3,1987,18,725.00,725.00
5,3,1988,19,746.00,746.00
5,3,1989,20,761.00,761.00
5,3,1990,21,773.00,773.00
5,3,1991,22,782.00,782.00
5,3,1992,23,788.00,788.00
5,3,1993,24,793.00,793.00
5,3,1994,25,796.00,796.00
5,3,1995,26,799.00,799.00
5,3,1996,27,800.00,800.00
5,3,1997,28,1672.00,1672.00
5,3,1998,29,803.00,803.00
5,3,1999,30,803.00,803.00
5,3,2000,31,804.00,804.00
5,3,2001,32,804.00,804.00
5,3,2002,33,710.00,710.00
5,3,2003,34,488.00,488.00
5,3,2004,35,805.00,805.00
5,3,2005,36,805.00,805.00
5,3,2006,37,805.00,805.00
5,3,2007,38,2.00,2.00
5,3,2008,39,360.00,360.00
5,3,2009,40,1610.00,1610.00
5,3,2010,41,805.00,805.00
5,3,2011,42,805.00,805.00
5,3,2012,43,805.00,805.00
5,3,2013,44,805.00,805.00
5,3,2014,45,805.00,805.00
5,3,2015,46,805.00,805.00
5,4,1970,1,94.00,94.00
5,4,1971,2,116.00,116.00
5,4,1972,3,143.00,143.00
5,4,1973,4,175.00,175.00
5,4,1974,5,212.00,212.00
5,4,1975,6,254.00,254.00
5,4,1976,7,301.00,301.00
5,4,1977,8,352.00,352.00
5,4,1978,9,406.00,406.00
5,4,1979,10,460.00,460.00
5,4,1980,11,514.00,514.00
5,4,1981,12,566.00,566.00
5,4,1982,13,612.00,612.00
5,4,1983,14,654.00,654.00
5,4,1984,15,689.00,689.00
5,4,1985,16,718.00,718.00
5,4,1986,17,741.00,741.00
5,4,1987,18,760.00,760.00
5,4,1988,19,774.00,774.00
5,4,1989,20,785.00,785.00
5,4,1990,21,793.00,793.00
5,4,1991,22,800.00,800.00
5,4,1992,23,804.00,804.00
5,4,1993,24,808.00,808.00
5,4,1994,25,810.00,810.00
5,4,1995,26,812.00,812.00
5,4,1996,27,813.00,813.00
5,4,1997,28,814.00,814.00
5,4,1998,29,815.00,815.00
5,4,1999,30,816.00,816.00
5,4,2000,31,816.00,816.00
5,4,2001,32,816.00,816.00
5,4,2002,33,817.00,817.00
5,4,2003,34,817.00,817.00
5,4,2004,35,817.00,817.00
5,4,2005,36,817.00,817.00
5,4,2006,37,817.00,817.00
5,4,2007,38,817.00,817.00
5,4,2008,39,817.00,817.00
5,4,2009,40,817.00,817.00
5,4,2010,41,817.00,817.00
5,4,2011,42,817.00,817.00
5,4,2012,43,817.00,817.00
5,4,2013,44,817.00,817.00
5,4,2014,45,817.00,817.00
5,4,2015,46,817.00,817.00
6,1,1970,1,108.00,108.00
6,1,1971,2,113.00,113.00
6,1,1972,3,115.00,115.00
6,1,1973,4,121.00,121.00
6,1,1974,5,123.00,123.00
6,1,1975,6,132.00,132.00
6,1,1976,7,131.00,131.00
6,1,1977,8,134.00,134.00
6,1,1978,9,137.00,137.00
6,1,1979,10,140.00,140.00
6,1,1980,11,149.00,149.00
6,1,1981,12,150.00,150.00
6,1,1982,13,151.00,151.00
6,1,1983,14,153.00,153.00
6,1,1984,15,153.00,153.00
6,1,1985,16,164.00,164.00
6,1,1986,17,170.00,170.00
6,1,1987,18,179.00,179.00
6,1,1988,19,182.00,182.00
6,1,1989,20,185.00,185.00
6,1,1990,21,194.00,194.00
6,1,1991,22,198.00,198.00
6,1,1992,23,204.00,204.00
6,1,1993,24,200.00,200.00
6,1,1994,25,205.00,205.00
6,1,1995,26,208.00,208.00
6,1,1996,27,214.00,214.00
6,1,1997,28,218.00,218.00
6,1,1998,29,216.00,216.00
6,1,1999,30,216.00,216.00
6,1,2000,31,208.00,208.00
6,1,2001,32,200.00,200.00
6,1,2002,33,203.00,203.00
6,1,2003,34,204.00,204.00
6,1,2004,35,220.00,220.00
6,1,2005,36,230.00,230.00
6,1,2006,37,239.00,239.00
6,1,2007,38,240.00,240.00
6,1,2008,39,250.00,250.00
6,1,2009,40,256.00,256.00
6,1,2010,41,261.00,261.00
6,1,2011,42,260.00,260.00
6,1,2012,43,255.00,255.00
6,1,2013,44,253.00,253.00
6,1,2014,45,257.00,257.00
6,1,2015,46,261.00,261.00
6,2,1970,1,1908.00,1908.00
6,2,1971,2,2445.00,2445.00
6,2,1972,3,3084.00,3084.00
6,2,1973,4,3831.00,3831.00
6,2,1974,5,4692.00,4692.00
6,2,1975,6,5670.00,5670.00
6,2,1976,7,6768.00,6768.00
6,2,1977,8,7989.00,7989.00
6,2,1978,9,9327.00,9327.00
6,2,1979,10,10782.00,10782.00
6,2,1980,11,12348.00,12348.00
6,2,1981,12,14016.00,14016.00
6,2,1982,13,15777.00,15777.00
6,2,1983,14,17625.00,17625.00
6,2,1984,15,19551.00,19551.00
6,2,1985,16,21546.00,21546.00
6,2,1986,17,23595.00,23595.00
6,2,1987,18,25677.00,25677.00
6,2,1988,19,27777.00,27777.00
6,2,1989,20,29892.00,29892.00
6,2,1990,21,32007.00,32007.00
6,2,1991,22,34119.00,34119.00
6,2,1992,23,36216.00,36216.00
6,2,1993,24,38298.00,38298.00
6,2,1994,25,40347.00,40347.00
6,2,1995,26,42357.00,42357.00
6,2,1996,27,44325.00,44325.00
6,2,1997,28,46251.00,46251.00
6,2,1998,29,48123.00,48123.00
6,2,1999,30,49956.00,49956.00
6,2,2000,31,51729.00,51729.00
6,2,2001,32,53442.00,53442.00
6,2,2002,33,55092.00,55092.00
6,2,2003,34,56682.00,56682.00
6,2,2004,35,58209.00,58209.00
6,2,2005,36,59676.00,59676.00
6,2,2006,37,61104.00,61104.00
6,2,2007,38,62469.00,62469.00
6,2,2008,39,63771.00,63771.00
6,2,2009,40,65004.00,65004.00
