Year,area,catch,table,report
1979,5,605057,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,477177,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,436505,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,303430,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,303566,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,459725,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,290726,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,225939,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,159165,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,139341,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,161290,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,146218,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,147935,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,153831,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,160869,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,83755,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,62311,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,89611,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,57139,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,21237,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,43807,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,33359,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,31259,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,52979,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,19981,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,13475,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,11992,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,12181,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,14561,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,13684,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,18123,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,15041,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,24033,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,25553,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,25883,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,46279,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,59460,Table A13,"PSC, REPORT TCCHINOOK (16)-3"
1975,5,9799,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1976,5,13004,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1977,5,25344,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1978,5,9725,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1979,5,8665,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,41338,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,39814,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,37718,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,30556,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,30590,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,45007,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,52114,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,31660,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,35706,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,53777,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,37574,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,28160,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,31415,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,16571,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,23903,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,15787,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,19687,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,17779,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,11704,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,15631,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,11444,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,24037,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,24429,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,26922,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,41064,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,30633,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,26592,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,26687,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,22435,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,25972,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,15818,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,21353,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,22438,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,32636,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,20427,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,41309,Table A15,"PSC, REPORT TCCHINOOK (16)-3"
1975,5,95491,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1976,5,91866,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1977,5,78990,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1978,5,84977,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1979,5,88148,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,79856,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,88603,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,74284,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,93289,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,76185,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,69991,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,116574,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,109444,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,100447,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,128298,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,103056,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,80457,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,70819,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,44313,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,10975,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,17525,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,15339,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,13577,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,3132,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,3237,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,2817,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,7724,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,4885,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,6634,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,25868,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,8225,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,7745,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,11420,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,11239,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,14625,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,15944,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,13681,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,17748,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,18644,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,16885,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,18870,Table A16,"PSC, REPORT TCCHINOOK (16)-3"
1975,5,122091,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1976,5,101337,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1977,5,96510,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1978,5,101196,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1979,5,68577,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,75130,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,57338,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,42731,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,42958,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,58934,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,45842,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,36307,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,42740,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,38867,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,25282,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,16353,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,16460,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,20780,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,20867,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,19672,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,13195,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,16608,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,38759,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,6874,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,3424,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,5295,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,7492,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,6758,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,7835,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,7104,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,7061,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,9409,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,7539,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,5877,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,5091,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,9286,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,11823,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,6184,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,13410,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,15874,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,12675,Table A17,"PSC, REPORT TCCHINOOK (16)-3"
1975,5,305068,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1976,5,292527,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1977,5,243231,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1978,5,267277,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1979,5,284475,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,314315,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,251200,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,234977,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,258244,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,282988,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,277510,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,241000,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,186000,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,196000,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,231000,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,250593,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,138354,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,115116,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,96002,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,107758,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,125102,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,120196,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,91483,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,80931,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,126063,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,108822,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,163436,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,143597,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,118416,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,91861,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,108638,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,149639,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,176096,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,138291,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,102096,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,113416,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,130182,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,162538,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,141412,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,74017,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,91114,Table A18,"PSC, REPORT TCCHINOOK (16)-3"
1975,5,36575,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1976,5,54214,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1977,5,74510,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1978,5,36061,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1979,5,38700,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1980,5,49157,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1981,5,37666,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1982,5,34385,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1983,5,17662,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1984,5,17558,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1985,5,27117,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1986,5,32000,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1987,5,54000,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1988,5,81000,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1989,5,91000,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1990,5,62770,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1991,5,60467,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1992,5,70800,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1993,5,68465,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1994,5,53513,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1995,5,56371,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1996,5,67467,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1997,5,34888,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1998,5,26835,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1999,5,14565,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2000,5,18839,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2001,5,28125,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2002,5,29410,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2003,5,24518,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2004,5,34053,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2005,5,27719,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2006,5,35444,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2007,5,17419,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2008,5,18836,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2009,5,25357,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2010,5,19625,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2011,5,52374,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2012,5,38878,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2013,5,41299,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2014,5,49254,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
2015,5,42352,Table A19,"PSC, REPORT TCCHINOOK (16)-3"
1975,6,228121,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1976,6,190267,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1977,6,131005,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1978,6,146179,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1979,6,147576,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1980,6,157398,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1981,6,153249,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1982,6,173687,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1983,6,162927,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1984,6,185305,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1985,6,166445,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1986,6,176868,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1987,6,180101,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1988,6,159428,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1989,6,228331,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1990,6,170936,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1991,6,209065,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1992,6,163698,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1993,6,186983,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1994,6,193554,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1995,6,79388,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1996,6,678,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1997,6,110999,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1998,6,143202,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1999,6,84324,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2000,6,32048,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2001,6,43334,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2002,6,149831,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2003,6,194797,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2004,6,241508,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2005,6,243606,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2006,6,215985,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2007,6,144235,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2008,6,95647,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2009,6,109470,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2010,6,136613,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2011,6,122660,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2012,6,120307,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2013,6,115914,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2014,6,216901,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
2015,6,158903,Table A5,"PSC, REPORT TCCHINOOK (16)-3"
1975,6,176455,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1976,6,177873,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1977,6,168387,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1978,6,142141,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1979,6,173079,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1980,6,135122,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1981,6,98611,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1982,6,117991,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1983,6,121537,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1984,6,98172,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1985,6,50266,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1986,6,89603,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1987,6,88461,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1988,6,60103,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1989,6,45249,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1990,6,68002,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1991,6,62314,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1992,6,82833,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1993,6,52044,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1994,6,44059,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1995,6,23679,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1996,6,21045,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1997,6,32351,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1998,6,20619,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1999,6,22155,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2000,6,15173,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2001,6,21056,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2002,6,16021,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2003,6,14864,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2004,6,20608,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2005,6,15583,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2006,6,18644,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2007,6,14296,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2008,6,7345,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2009,6,10382,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2010,6,9302,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2011,6,15464,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2012,6,11754,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2013,6,15209,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2014,6,15081,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
2015,6,19998,Table A8,"PSC, REPORT TCCHINOOK (16)-3"
1975,6,546214,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1976,6,665010,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1977,6,545742,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1978,6,568705,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1979,6,477222,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1980,6,486303,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1981,6,423266,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1982,6,538510,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1983,6,395636,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1984,6,471294,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1985,6,345937,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1986,6,350227,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1987,6,378931,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1988,6,408668,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1989,6,203751,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1990,6,297858,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1991,6,203035,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1992,6,358664,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1993,6,300345,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1994,6,160352,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1995,6,95410,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1996,6,10233,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1997,6,59088,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1998,6,9317,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1999,6,38540,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2000,6,88617,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2001,6,120304,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2002,6,157886,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2003,6,173561,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2004,6,215252,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2005,6,199479,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2006,6,145485,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2007,6,140614,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2008,6,145726,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2009,6,124617,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2010,6,139047,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2011,6,204232,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2012,6,134468,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2013,6,113598,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
2014,6,188374,Table A9,"PSC, REPORT TCCHINOOK (16)-3"
1975,6,48360,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1976,6,62693,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1977,6,76379,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1978,6,68200,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1979,6,44343,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1980,6,42068,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1981,6,41655,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1982,6,40688,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1983,6,43017,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1984,6,27621,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1985,6,41640,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1986,6,21817,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1987,6,15643,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1988,6,7858,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
