predator,sex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1,695,949,1208,1455,1682,1881,2051,2194,2311,2406,2482,2726,2970,3214,3458,3702,3946,4190,4434,4434,4434,4434,4434,4434,4434
1,2,695,949,1208,1455,1682,1881,2051,2194,2311,2406,2482,2589,2696,2803,2910,3017,3124,3231,3338,3338,3338,3338,3338,3338,3338
2,1,28.04426553,40.37419797,50.04673738,57.63461501,63.58712494,68.25672773,71.9199203,74.79360795,77.04794771,78.81642376,80.20375125,81.29207675,82.14584227,82.81560106,83.34101094,83.75318253,84.07652135,84.33017299,84.52915668,84.68525466,84.80770982,84.90377299,84.97913227,85.03824983,85.08462616
2,2,27.85136412,37.64431759,45.30089613,51.28715912,55.96749308,59.62679205,62.48779921,64.72466535,66.47354951,67.84090707,68.9099697,69.74581171,70.39931119,70.91024695,71.30971987,71.62204606,71.86623695,72.05715654,72.2064262,72.32313205,72.41437801,72.48571827,72.54149535,72.58510442,72.61919998
3,1,34.10662519,50.48576957,73.05964723,102.5661152,138.5739924,179.0074464,220.3794251,258.8740244,291.6509561,317.5165414,336.7305302,350.3718541,359.7485363,366.0514041,370.2247147,372.9604719,374.7421154,375.8974386,376.6445387,377.1267894,377.4377195,377.6380408,377.7670386,377.8500814,377.9035298
3,2,26.56700203,46.83028492,62.15104386,72.30517212,78.61185388,82.3966125,84.62548892,85.92430606,86.67664462,87.11095374,87.36118313,87.50519318,87.58801962,87.6356392,87.66301143,87.67874337,87.68778453,87.69298028,87.6959661,87.69768192,87.69866792,87.69923452,87.69956012,87.69974722,87.69985474
4,1,95.55793084,133.4273667,182.0900859,241.4814331,309.5719141,382.2571594,454.1669864,520.1529661,576.6515475,622.228393,657.2596521,683.1978866,701.8768305,715.0605081,724.2341683,730.5545085,734.8793026,737.8247686,739.8244216,741.1790261,742.095313,742.7144949,743.1326264,743.4148609,743.605308
4,2,96.8855249,125.8213997,152.0571917,174.9160102,194.2857141,210.3735324,223.5406004,234.1998294,242.7579796,249.5862734,255.0083227,259.2979137,262.6819525,265.3457501,267.4390336,269.0818195,270.3697362,271.3786344,272.1684694,272.7865067,273.2699312,273.6479508,273.9434796,274.1744772,274.3550091
