species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,19900412,19900507,1990,4,5,12,7,32058,0,0,F,,5000,27058,,,,,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,19900412,19900507,1990,4,5,12,7,37446,0,0,F,,5000,27053,,,0,5393,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,19900412,19900507,1990,4,5,12,7,36946,0,0,F,,5000,26553,,,0,5393,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,199205,199205,1992,5,5,,,38025,0,0,F,,5000,25634,,,0,1868,5000,523,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,199205,199205,1992,5,5,,,33585,0,0,F,,5000,26679,,,0,1906,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19920510,19920510,1992,5,5,10,10,24517,24517,2770421,Y,113,5000,15847,,,0,3670,,,R-Babine R,BC,Bccoast,6
1,2,19920510,19920510,1992,5,5,10,10,24395,24395,2756635,Y,113,5000,15725,,,0,3670,,,R-Babine R,BC,Bccoast,6
1,2,19920527,19920609,1992,5,6,27,9,32299,0,0,S,,5000,16148,,,0,6039,5000,112,R-Kilbella Bay,BC,Bccoast,6
1,2,19920527,19920609,1992,5,6,27,9,32338,0,0,S,,5000,16127,,,0,6040,5000,171,R-Kilbella Bay,BC,Bccoast,6
1,2,19930505,19930505,1993,5,5,5,5,25333,0,0,Y,,5000,15861,,,0,4472,,,R-Babine R Up,BC,Bccoast,6
1,2,19930505,19930505,1993,5,5,5,5,25336,0,0,Y,,5000,15863,,,0,4473,,,R-Babine R Up,BC,Bccoast,6
1,2,19940602,19940608,1994,6,6,2,8,110311,0,0,F,,5000,100060,,,5000,251,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,19910506,19910506,1991,5,5,6,6,30307,0,0,Y,,5000,25307,,,,,,,R-Babine R,BC,Bccoast,6
1,1,19910527,19910626,1991,5,6,27,26,53981,53981,6099853,Y,113,5000,24017,,,0,24964,,,R-Kincolith R,BC,Bccoast,6
1,1,19910527,19910626,1991,5,6,27,26,54048,54048,6107424,Y,113,5000,24083,,,0,24965,,,R-Kincolith R,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,36920,0,0,F,,5000,26376,,,0,5544,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,37265,0,0,F,,5000,26720,,,0,5545,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,37281,0,0,F,,5000,26736,,,0,5545,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,37328,0,0,F,,5000,26783,,,0,5545,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,37143,0,0,F,,5000,26599,,,0,5544,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,37267,0,0,F,,5000,26722,,,0,5545,,,R-Kitsum Bel Canyon,BC,Bccoast,6
